EL00003	null
  
    AUSTRALIA	E0182788
EL05361	Black Panthers	E0780571
EL05362	Black Panthers	E0194507
EL05376	British Broadcasting Corporation	E0384127
EL05378	Bryn Mawr College	E0503732
EL05408	Carlyle Group	E0259265
EL05414	Carlyle Group	E0259265
EL05427	Chinese Foreign Ministry	E0793281
EL05435	Chinese Foreign Ministry	E0793281
EL05443	Chrysler LLC	E0611290
EL05447	Chrysler LLC	E0611290
EL05449	Chrysler LLC	E0611290
EL05450	Chrysler LLC	E0611290
EL05452	Chrysler LLC	E0611290
EL05500	Cornell	E0437638
EL05502	Cornell	E0437638
EL05507	Cornell	E0437638
EL05513	DHS	E0302276
EL05536	Daily News	E0504008
EL05588	Environmental Protection Agency	E0476856
EL05591	Environmental Protection Agency	E0476856
EL05593	Environmental Protection Agency	E0476856
EL05605	European Union	E0640682
EL05611	European Union	E0640682
EL05617	European Union	E0640682
EL05618	European Union	E0640682
EL05624	Exxon Mobil	E0431744
EL05626	FAO	E0391715
EL05630	FAO	E0391715
EL05632	FAO	E0391715
EL05635	FIFA	E0679734
EL05638	FIFA	E0679734
EL05686	GAO	E0777504
EL05691	GAO	E0777504
EL05696	GAO	E0777504
EL05697	GAO	E0777504
EL05760	Georgia Tech	E0219555
EL05761	Georgia Tech	E0454439
EL05767	Glamour Magazine	E0768689
EL05772	Grameen Bank	E0542608
EL05775	HDFC	E0028440
EL05776	HDFC	E0028440
EL05793	HDFC	E0028440
EL05814	Hewlett Packard	E0669850
EL05815	Hewlett Packard	E0669850
EL05822	Hooters	E0801660
EL05823	Hooters	E0801660
EL05838	IAF	E0265128
EL05852	IDBI Bank	E0792911
EL05855	IDBI Bank	E0792911
EL05856	IDBI Bank	E0792911
EL05862	ING Direct	E0287165
EL05863	INXS	E0333372
EL05868	INXS	E0333372
EL05869	INXS	E0333372
EL05947	JP Morgan Chase	E0612639
EL05953	Jerusalem Post	E0353777
EL05955	Jerusalem Post	E0353777
EL05957	Jerusalem Post	E0353777
EL05960	Jerusalem Post	E0353777
EL05967	Jerusalem Post	E0353777
EL05971	Jerusalem Post	E0353777
EL05976	Jet Airways	E0215680
EL05978	Jet Airways	E0215680
EL05983	Justice Dept	E0325971
EL05989	KROQ	E0661179
EL06011	Ku Klux Klan	E0754892
EL06020	Latter Day Saints	E0302411
EL06047	MGM	E0337311
EL06051	MGM	E0337311
EL06052	MGM	E0337311
EL06054	MGM	E0337311
EL06057	MGM	E0337311
EL06058	MGM	E0337311
EL06066	Merrill	E0789145
EL06068	Merrill	E0789145
EL06086	NRA	E0275244
EL06087	NRA	E0275244
EL06092	NRA	E0275244
EL06094	NRA	E0275244
EL06101	NRA	E0275244
EL06104	NSA	E0202997
EL06106	NSA	E0202997
EL06107	NSA	E0202997
EL06109	NSA	E0202997
EL06135	NY Times	E0371427
EL06142	NY Times	E0371427
EL06145	NY Times	E0371427
EL06150	NYFD	E0279979
EL06155	NYT	E0371427
EL06163	National Express	E0398776
EL06164	National Express	E0398776
EL06200	New York Stock Exchange	E0231100
EL06203	New York Stock Exchange	E0231100
EL06204	New York Stock Exchange	E0231100
EL06205	New York Stock Exchange	E0231100
EL06222	New York Times Company	E0700746
EL06238	New Yorker	E0761331
EL06240	New Yorker	E0761331
EL06246	North Atlantic Treaty Organization	E0346619
EL06248	North Atlantic Treaty Organization	E0346619
EL06253	OIC	E0374042
EL06256	OIC	E0374042
EL06258	OIC	E0374042
EL06259	OIC	E0374042
EL06294	Pacific Design Center	E0237088
EL06295	Pacific Design Center	E0237088
EL06297	Pacific Design Center	E0237088
EL06299	Pacific Design Center	E0237088
EL06317	Penn State	E0772477
EL06319	Penn State	E0772477
EL06336	Pep Boys	E0684417
EL06357	Planet X	E0091383
EL06367	Princeton	E0519434
EL06377	Princeton	E0519434
EL06406	RCMP	E0275249
EL06412	RCMP	E0275249
EL06414	RCMP	E0275249
EL06420	Radio Shack	E0645020
EL06421	Radio Shack	E0645020
EL06427	Radio Shack	E0645020
EL06431	Radio Shack	E0645020
EL06435	Reliance Industries	E0343020
EL06455	Reserve Bank	E0700143
EL06456	Reserve Bank	E0700143
EL06458	Reserve Bank	E0700143
EL06465	Reserve Bank	E0700143
EL06467	Reserve Bank	E0700143
EL06468	Reserve Bank	E0700143
EL06472	Reserve Bank	E0421510
EL06532	Sears	E0791416
EL06534	Sears	E0791416
EL06541	Sears	E0791416
EL06544	Sears	E0791416
EL06579	TIA	E0682938
EL06580	TIME Magazine	E0602894
EL06582	TIME Magazine	E0602894
EL06585	TNT	E0131583
EL06593	TNT	E0131583
EL06596	TNT	E0131583
EL06597	TNT	E0131583
EL06603	Target	E0373348
EL06607	The Herald	E0803920
EL06615	The Times	E0650325
EL06621	The Times	E0297701
EL06627	The Times	E0297701
EL06630	The Times	E0297701
EL06636	UC	E0739781
EL06637	UC	E0739781
EL06641	UC	E0130354
EL06642	UC	E0739781
EL06649	UN Security Council	E0361097
EL06652	UN Security Council	E0361097
EL06653	UN Security Council	E0361097
EL06657	UN Security Council	E0361097
EL06693	US State Department	E0024541
EL06695	US State Department	E0024541
EL06696	US State Department	E0024541
EL06698	US State Department	E0024541
EL06730	VA	E0252623
EL06742	Vanguard	E0211357
EL06748	Verizon	E0734562
EL06755	Verizon	E0283441
EL06758	Verizon	E0283441
EL06773	Verizon Wireless	E0734562
EL06788	WWF	E0166143
EL06806	Washington Times	E0784457
EL06814	Washington Times	E0784457
EL06815	Washington Times	E0784457
EL06816	Washington Times	E0784457
EL06818	Washington Times	E0784457
EL06821	Washington Times	E0784457
EL06823	Washington Times	E0784457
EL06826	Wells Fargo	E0115554
EL06831	Wells Fargo	E0115554
EL06833	Wells Fargo	E0115554
EL06834	Wells Fargo	E0115554
EL06843	Western Union	E0771852
EL06844	Western Union	E0771852
EL06846	Western Union	E0771852
EL06848	Western Union	E0771852
EL06849	Western Union	E0771852
EL06885	World Health Organisation	E0725535
EL06893	World Health Organisation	E0725535
EL06894	World Health Organisation	E0725535
EL06898	World Health Organisation	E0725535
EL07268	Colorado City	E0566559
EL07482	Geneva	E0419416
EL07591	Hartford	E0673283
EL07759	Karbala	E0701801
EL08222	Nazareth	E0741465
EL08322	Oakland	E0020637
EL08507	Richmond	E0171454
EL08509	Rochester	E0536367
EL08585	Salt Lake City	E0412119
EL09029	Abe Lincoln	E0370549
EL09158	Bobby Fischer	E0777898
EL09159	Bobby Fischer	E0777898
EL09161	Bobby Fischer	E0777898
EL09264	Cyndi	E0774987
EL09300	Douglas Adams	E0751584
EL09320	George Harrison	E0326306
EL09321	George Harrison	E0326306
EL09322	George Harrison	E0326306
EL09413	Jamal Williams	E0015338
EL09506	Joseph Campbell	E0018019
EL09514	Justin Timberlake	E0448484
EL09515	Justin Timberlake	E0448484
EL09582	Lester Brown	E0068401
EL09592	Lewis Carroll	E0441284
EL09612	Mark Twain	E0304420
EL09709	Pam Anderson	E0202105
EL09765	Rachael Ray	E0139583
EL09819	Robert Kennedy	E0135610
EL09827	Robert Menendez	E0281856
EL09854	Stephen King	E0446433
EL09885	Tom Coburn	E0437588
EL09891	Travis Tritt	E0625061
EL09913	Tripp	E0586856
EL09971	Will Smith	E0811229
EL09972	Will Smith	E0811229
EL09975	Will Smith	E0811229
EL10003	William Shakespeare	E0824654
EL10007	William Shakespeare	E0824654
EL10017	William Shakespeare	E0824654
EL10058	AUT	E0711836
EL10070	Ajax	E0318608
EL10077	Al Qaeda	E0773407
EL10113	BMG	E0724369
EL10129	Borders	E0724933
EL10130	Borders	E0537613
EL10134	Borders	E0537613
EL10148	CAA	E0293095
EL10150	CAA	E0293095
EL10162	CUNY	E0017083
EL10194	Chinese Communist Party	E0697070
EL10235	DEA	E0022633
EL10237	DEA	E0022633
EL10268	Democratic Party	E0748134
EL10277	Democratic Party	E0748134
EL10280	Democratic Party	E0748134
EL10297	EPA	E0476856
EL10337	FAA	E0353565
EL10338	FAA	E0353565
EL10343	FAA	E0353565
EL10345	FDIC	E0348440
EL10348	FDIC	E0348440
EL10349	FDIC	E0348440
EL10363	General Motors Corp	E0787371
EL10397	Goldman Sachs	E0177164
EL10409	Green Party	E0546266
EL10414	Green Party	E0546266
EL10468	Iowa State University	E0181240
EL10471	Iowa State University	E0181240
EL10509	MSN	E0448365
EL10518	Marine Corps	E0774074
EL10546	Mercedes Benz	E0665306
EL10604	National Rifle Association	E0275244
EL10605	National Rifle Association	E0275244
EL10609	National Rifle Association	E0275244
EL10668	PSB	E0321121
EL10676	Penn State University	E0772477
EL10679	Penn State University	E0772477
EL10739	Secret Service	E0288895
EL10747	Secret Service	E0288895
EL10809	State Department	E0024541
EL10814	State Department	E0024541
EL10838	TOAD	E0788872
EL10849	Tamil Tigers	E0466632
EL10874	The Associated Press	E0601466
EL10875	The Associated Press	E0601466
EL10879	Toronto Sun	E0032446
EL10906	UMNO	E0440684
EL10971	US Senate	E0593713
EL10976	US Senate	E0593713
EL10984	USC	E0448175
EL10986	USC	E0448175
EL11007	Wal Mart	E0540204
EL11017	Walgreens	E0165109
EL11021	Walgreens	E0165109
EL11051	World Trade Organisation	E0081133
Number of gold entities found: 390, total: 1074
Recall: 0.36312849162011174
Minimum candidates: 0, Maximum candidates: 3, Average candidates: 0.378026
